First proper evaluation results 12/03/2021
-------------------------------------
5-fold Cross-Validation results:
|    | CV split   | Model                    |    Loss |   Accuracy |   Precision |   Recall |       F1 |
|---:|:-----------|:-------------------------|--------:|-----------:|------------:|---------:|---------:|
|  1 | 1          | BertPooledModel          | 5.96632 |   0.611111 |    0.568182 | 0.925926 | 0.704225 |
|  4 | 2          | BertPooledModel          | 5.41881 |   0.648148 |    0.722222 | 0.481481 | 0.577778 |
|  7 | 3          | BertPooledModel          | 6.82666 |   0.555556 |    0.540541 | 0.740741 | 0.625    |
| 10 | 4          | BertPooledModel          | 4.84751 |   0.685185 |    0.75     | 0.555556 | 0.638298 |
| 13 | 5          | BertPooledModel          | 4.55677 |   0.703704 |    0.703704 | 0.703704 | 0.703704 |
| 16 | Average    | BertPooledModel          | 5.52321 |   0.640741 |    0.65693  | 0.681481 | 0.649801 |
|  2 | 1          | Buda20NgramEnsembleModel | 4.55337 |   0.703704 |    0.677419 | 0.777778 | 0.724138 |
|  5 | 2          | Buda20NgramEnsembleModel | 3.99227 |   0.740741 |    0.809524 | 0.62963  | 0.708333 |
|  8 | 3          | Buda20NgramEnsembleModel | 5.41031 |   0.648148 |    0.642857 | 0.666667 | 0.654545 |
| 11 | 4          | Buda20NgramEnsembleModel | 3.13363 |   0.796296 |    0.807692 | 0.777778 | 0.792453 |
| 14 | 5          | Buda20NgramEnsembleModel | 3.70322 |   0.759259 |    0.769231 | 0.740741 | 0.754717 |
| 17 | Average    | Buda20NgramEnsembleModel | 4.15856 |   0.72963  |    0.741345 | 0.718519 | 0.726837 |
|  0 | 1          | RandomModel              | 7.40645 |   0.518519 |    0.52     | 0.481481 | 0.5      |
|  3 | 2          | RandomModel              | 6.83855 |   0.555556 |    0.565217 | 0.481481 | 0.52     |
|  6 | 3          | RandomModel              | 8.54224 |   0.444444 |    0.448276 | 0.481481 | 0.464286 |
|  9 | 4          | RandomModel              | 6.26556 |   0.592593 |    0.592593 | 0.592593 | 0.592593 |
| 12 | 5          | RandomModel              | 7.1208  |   0.537037 |    0.538462 | 0.518519 | 0.528302 |
| 15 | Average    | RandomModel              | 7.23472 |   0.52963  |    0.532909 | 0.511111 | 0.521036 |
