
|    | Model                    | Agg                |     Loss |   Accuracy |   Precision |    Recall |        F1 |   ROC AUC |   True positives |   False negatives |   True negatives |   False positives |
|---:|:-------------------------|:-------------------|---------:|-----------:|------------:|----------:|----------:|----------:|-----------------:|------------------:|-----------------:|------------------:|
| 12 | Buda20NgramEnsembleModel | Average            | 4.05084  |  0.736667  |   0.754224  | 0.714667  | 0.728085  | 0.736667  |         10.72    |           3.62    |         11.38    |           4.28    |
| 14 | Buda20NgramEnsembleModel | Max                | 8.20218  |  0.966667  |   1         | 0.933333  | 0.965517  | 0.966667  |         14       |           8       |         15       |           9       |
| 15 | Buda20NgramEnsembleModel | Min                | 0.514165 |  0.466667  |   0.466667  | 0.4       | 0.466667  | 0.466667  |          6       |           0       |          7       |           1       |
| 13 | Buda20NgramEnsembleModel | Standard Deviation | 1.41429  |  0.0919541 |   0.100746  | 0.125106  | 0.100066  | 0.0919541 |          1.87659 |           1.82088 |          1.82088 |           1.87659 |
|  0 | RandomModel              | Average            | 7.79103  |  0.493333  |   0.493956  | 0.516     | 0.501354  | 0.493333  |          7.74    |           7.94    |          7.06    |           7.26    |
|  2 | RandomModel              | Max                | 9.73856  |  0.666667  |   0.692308  | 0.866667  | 0.722222  | 0.666667  |         13       |          12       |         11       |          10       |
|  3 | RandomModel              | Min                | 5.11719  |  0.366667  |   0.375     | 0.333333  | 0.357143  | 0.366667  |          5       |           4       |          3       |           2       |
|  1 | RandomModel              | Standard Deviation | 1.19125  |  0.0774597 |   0.0742691 | 0.113772  | 0.0840087 | 0.0774597 |          1.70658 |           1.71359 |          1.71359 |           1.70658 |
|  8 | SvmCharNGramsModel       | Average            | 5.21775  |  0.660667  |   0.663801  | 0.68      | 0.665857  | 0.660667  |         10.2     |           5.38    |          9.62    |           4.8     |
| 10 | SvmCharNGramsModel       | Max                | 8.20218  |  0.833333  |   1         | 0.866667  | 0.8125    | 0.833333  |         13       |          10       |         15       |           8       |
| 11 | SvmCharNGramsModel       | Min                | 2.57082  |  0.466667  |   0.466667  | 0.466667  | 0.466667  | 0.466667  |          7       |           0       |          5       |           2       |
|  9 | SvmCharNGramsModel       | Standard Deviation | 1.27435  |  0.0829163 |   0.0991657 | 0.110755  | 0.0817066 | 0.0829163 |          1.66132 |           2.02869 |          2.02869 |           1.66132 |
|  4 | TfIdfModel               | Average            | 5.95087  |  0.612667  |   0.59263   | 0.742667  | 0.657087  | 0.612667  |         11.14    |           7.76    |          7.24    |           3.86    |
|  6 | TfIdfModel               | Max                | 8.19913  |  0.8       |   0.8       | 0.933333  | 0.823529  | 0.8       |         14       |          11       |         12       |           7       |
|  7 | TfIdfModel               | Min                | 3.0697   |  0.466667  |   0.470588  | 0.533333  | 0.5       | 0.466667  |          8       |           3       |          4       |           1       |
|  5 | TfIdfModel               | Standard Deviation | 1.21611  |  0.0791314 |   0.0693834 | 0.0914185 | 0.0684232 | 0.0791314 |          1.37128 |           1.7951  |          1.7951  |           1.37128 |
